client,account,platform,post_id,url,posted_at,caption,media_type,language,views,likes,comments,shares
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_1,https://example.com/mumbai_falcons_instagram_1,2025-12-01 21:00:00,Matchday moments presented by Tata. #Cricket #Tata,post,English,117977,4676,151,461
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_2,https://example.com/mumbai_falcons_youtube_2,2025-12-01 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,short,Hindi,299242,5115,380,934
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_3,https://example.com/mumbai_falcons_youtube_3,2025-12-01 21:00:00,Matchday moments presented by CRED. #Cricket #CRED,short,English,385658,16749,1053,1150
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_4,https://example.com/mumbai_falcons_instagram_4,2025-12-02 21:00:00,Paytm ke saath matchday vibes! #Win #Cricket @paytm #reel,reel,Hindi,1896615,60326,5777,2873
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_5,https://example.com/mumbai_falcons_youtube_5,2025-12-02 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,video,Hindi,112919,3605,322,393
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_6,https://example.com/mumbai_falcons_youtube_6,2025-12-02 21:00:00,Matchday moments presented by CRED. #Cricket #CRED,video,English,324109,10555,764,809
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_7,https://example.com/delhi_strikers_youtube_7,2025-12-02 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,short,Hindi,355354,10608,721,1152
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_8,https://example.com/delhi_strikers_youtube_8,2025-12-02 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,short,Hindi,299216,5969,606,1695
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_13,https://example.com/delhi_strikers_youtube_13,2025-12-04 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,short,Hindi,368064,8588,519,1160
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_12,https://example.com/delhi_strikers_instagram_12,2025-12-04 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,post,Hindi,230697,4355,402,681
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_11,https://example.com/delhi_strikers_instagram_11,2025-12-04 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,post,English,261930,4106,624,482
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_10,https://example.com/mumbai_falcons_youtube_10,2025-12-04 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,video,Hindi,114078,1918,354,483
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_9,https://example.com/mumbai_falcons_youtube_9,2025-12-04 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,video,Hindi,263594,8654,722,864
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_14,https://example.com/mumbai_falcons_instagram_14,2025-12-06 21:00:00,Matchday moments presented by Paytm. #Cricket #Paytm,post,English,279460,12221,405,525
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_15,https://example.com/mumbai_falcons_instagram_15,2025-12-06 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,reel,Hindi,1555480,35593,1574,4813
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_16,https://example.com/mumbai_falcons_youtube_16,2025-12-06 21:00:00,Matchday moments presented by CRED. #Cricket #CRED,video,English,350265,15238,1038,1645
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_17,https://example.com/delhi_strikers_instagram_17,2025-12-06 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,post,Hindi,286632,5189,832,375
Mumbai Falcons (Demo),mumbai_falcons_instagram,instagram,mumbai_falcons_instagram_18,https://example.com/mumbai_falcons_instagram_18,2025-12-07 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,reel,Hindi,322692,4842,469,486
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_19,https://example.com/mumbai_falcons_youtube_19,2025-12-07 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,short,Hindi,189027,6317,273,427
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_20,https://example.com/delhi_strikers_instagram_20,2025-12-07 21:00:00,CRED ke saath matchday vibes! #Win #Cricket @cred #reel,post,Hindi,140478,5684,559,467
Delhi Strikers (Demo),delhi_strikers_youtube,youtube,delhi_strikers_youtube_21,https://example.com/delhi_strikers_youtube_21,2025-12-07 21:00:00,Jio ke saath matchday vibes! #Win #Cricket @jio #reel,short,Hindi,259639,9661,632,1158
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_25,https://example.com/delhi_strikers_instagram_25,2025-12-08 21:00:00,Tata ke saath matchday vibes! #Win #Cricket @tata #reel,reel,Hindi,799251,35717,2693,2686
Delhi Strikers (Demo),delhi_strikers_instagram,instagram,delhi_strikers_instagram_24,https://example.com/delhi_strikers_instagram_24,2025-12-08 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,reel,English,182312,7143,629,856
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_22,https://example.com/mumbai_falcons_youtube_22,2025-12-08 21:00:00,Matchday moments presented by Jio. #Cricket #Jio,short,English,94178,3554,178,396
Mumbai Falcons (Demo),mumbai_falcons_youtube,youtube,mumbai_falcons_youtube_23,https://example.com/mumbai_falcons_youtube_23,2025-12-08 21:00:00,Dream11 ke saath matchday vibes! #Win #Cricket @dream11 #reel,video,Hindi,167578,4301,279,621
